# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,source_present,implementation_path,docs_status,docs_text,docs_notes
node:assert,yes,ext/node/polyfills/assert.ts,supported,,
node:async_hooks,yes,ext/node/polyfills/async_hooks.ts,partial,AsyncResource : The AsyncResource implementation is a non-functional stub. executionAsyncId : The executionAsyncId implementation is a non-functional stub. createHook : The createHook implementation is a non-functional stub.,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.
node:buffer,yes,ext/node/polyfills/buffer.ts,supported,,
node:child_process,yes,ext/node/polyfills/child_process.ts,supported,,
node:cluster,yes,ext/node/polyfills/cluster.ts,stub-only,All exports are non-functional stubs. All symbols : This symbol is a non-functional stub.,All symbols: This symbol is a non-functional stub.
node:console,yes,ext/node/polyfills/console.ts,supported,,
node:constants,yes,ext/node/polyfills/constants.ts,not_listed,,
node:crypto,yes,ext/node/polyfills/crypto.ts,partial,"Certificate : The methods are non-functional stubs. generateKeyPair : The x448 option is not supported. generatePrime : The safe , add and rem option is not supported. KeyObject : The following are non-functional stubs: from symmetricKeySize equals publicDecrypt : This symbol is a non-functional stub. secureHeapUsed : This symbol is a non-functional stub. setEngine : This symbol is a non-functional stub. ECDH : The convertKey method is a non-functional sub. Sign : The sign and verify methods are not supported with non BinaryLike input.","Certificate: The methods are non-functional stubs. | generateKeyPair: The x448 option is not supported. | generatePrime: The safe , add and rem option is not supported. | KeyObject: The following are non-functional stubs: | publicDecrypt: This symbol is a non-functional stub. | secureHeapUsed: This symbol is a non-functional stub. | setEngine: This symbol is a non-functional stub. | ECDH: The convertKey method is a non-functional sub. | Sign: The sign and verify methods are not supported with non BinaryLike input."
node:dgram,yes,ext/node/polyfills/dgram.ts,partial,Socket : The following methods are non-functional stubs: addMembership addSourceSpecificMembership dropMembership dropSourceSpecificMembership setBroadcast setMulticastInterface setMulticastLoopback setMulticastTtl setTtl,Socket: The following methods are non-functional stubs:
node:diagnostics_channel,yes,ext/node/polyfills/diagnostics_channel.js,supported,,
