# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,node20_status,node22_status,added_in,deprecated_in,deno_coverage,verification_status,notes,compatibility_target,runtime_preset,support_state,verification_lane
node:assert,assert,method,stable,stable,v0.5.9,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert,method,stable,stable,v0.5.9,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.Assert,class,,stable,v22.19.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.Assert,class,,stable,v22.19.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.AssertionError,class,stable,stable,,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.AssertionError,class,stable,stable,,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker,class,deprecated,deprecated,v14.2.0,,NeedsVerification,NeedsVerification,Deprecated,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker,class,deprecated,deprecated,v14.2.0,,NeedsVerification,NeedsVerification,Deprecated,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.calls,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.calls,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.getCalls,method,stable,stable,v18.8.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.getCalls,method,stable,stable,v18.8.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.report,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.report,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.reset,method,stable,stable,v18.8.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.reset,method,stable,stable,v18.8.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.verify,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.CallTracker.verify,method,stable,stable,v14.2.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.deepEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.deepEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.deepStrictEqual,method,stable,stable,v1.2.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.deepStrictEqual,method,stable,stable,v1.2.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.doesNotMatch,method,stable,stable,v13.6.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.doesNotMatch,method,stable,stable,v13.6.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.doesNotReject,method,stable,stable,v10.0.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.doesNotReject,method,stable,stable,v10.0.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
