# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,added_in,deprecated_in,node_status,notes
node:assert,assert,method,v0.5.9,,stable,
node:assert,assert.Assert,class,v22.19.0,,stable,
node:assert,assert.AssertionError,class,,,stable,
node:assert,assert.CallTracker,class,v14.2.0,,deprecated,Deprecated
node:assert,assert.CallTracker.calls,method,v14.2.0,,stable,
node:assert,assert.CallTracker.getCalls,method,v18.8.0,,stable,
node:assert,assert.CallTracker.report,method,v14.2.0,,stable,
node:assert,assert.CallTracker.reset,method,v18.8.0,,stable,
node:assert,assert.CallTracker.verify,method,v14.2.0,,stable,
node:assert,assert.deepEqual,method,v0.1.21,,stable,
node:assert,assert.deepStrictEqual,method,v1.2.0,,stable,
node:assert,assert.doesNotMatch,method,v13.6.0,,stable,
node:assert,assert.doesNotReject,method,v10.0.0,,stable,
node:assert,assert.doesNotThrow,method,v0.1.21,,stable,
node:assert,assert.equal,method,v0.1.21,,stable,
node:assert,assert.fail,method,v0.1.21,,stable,
node:assert,assert.ifError,method,v0.1.97,,stable,
node:assert,assert.match,method,v13.6.0,,stable,
node:assert,assert.notDeepEqual,method,v0.1.21,,stable,
node:assert,assert.notDeepStrictEqual,method,v1.2.0,,stable,
node:assert,assert.notEqual,method,v0.1.21,,stable,
node:assert,assert.notStrictEqual,method,v0.1.21,,stable,
node:assert,assert.ok,method,v0.1.21,,stable,
node:assert,assert.partialDeepStrictEqual,method,v22.13.0,,stable,
node:assert,assert.rejects,method,v10.0.0,,stable,
node:assert,assert.strictEqual,method,v0.1.21,,stable,
node:assert,assert.throws,method,v0.1.21,,stable,
node:async_hooks,async_hooks.AsyncHook,class,,,stable,
node:async_hooks,async_hooks.AsyncHook.after,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.before,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.destroy,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.disable,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.enable,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.executionAsyncId,method,v8.1.0,,stable,
node:async_hooks,async_hooks.AsyncHook.executionAsyncResource,method,v13.9.0,,stable,
node:async_hooks,async_hooks.AsyncHook.init,method,,,stable,
node:async_hooks,async_hooks.AsyncHook.promiseResolve,method,v8.6.0,,stable,
node:async_hooks,async_hooks.AsyncHook.triggerAsyncId,method,,,stable,
node:async_hooks,async_hooks.AsyncLocalStorage,class,v13.10.0,,stable,
node:async_hooks,async_hooks.AsyncLocalStorage.disable,method,v13.10.0,,experimental,Experimental
node:async_hooks,async_hooks.AsyncLocalStorage.enterWith,method,v13.11.0,,experimental,Experimental
node:async_hooks,async_hooks.AsyncLocalStorage.exit,method,v13.10.0,,experimental,Experimental
node:async_hooks,async_hooks.AsyncLocalStorage.getStore,method,v13.10.0,,stable,
node:async_hooks,async_hooks.AsyncLocalStorage.run,method,v13.10.0,,stable,
node:async_hooks,async_hooks.AsyncResource,class,,,stable,
node:async_hooks,async_hooks.AsyncResource.asyncId,method,,,stable,
node:async_hooks,async_hooks.AsyncResource.bind,method,v14.8.0,,stable,
node:async_hooks,async_hooks.AsyncResource.emitDestroy,method,,,stable,
node:async_hooks,async_hooks.AsyncResource.runInAsyncScope,method,v9.6.0,,stable,
node:async_hooks,async_hooks.AsyncResource.triggerAsyncId,method,,,stable,
node:async_hooks,async_hooks.createHook,method,v8.1.0,,stable,
node:buffer,buffer.Blob,class,v15.7.0,,stable,
node:buffer,buffer.Blob.arrayBuffer,method,v15.7.0,,stable,
node:buffer,buffer.Blob.bytes,method,v22.3.0,,stable,
node:buffer,buffer.Blob.slice,method,v15.7.0,,stable,
node:buffer,buffer.Blob.stream,method,v16.7.0,,stable,
node:buffer,buffer.Blob.text,method,v15.7.0,,stable,
node:buffer,buffer.Buffer,class,,,stable,
node:buffer,buffer.Buffer.compare,method,v0.11.13,,stable,
node:buffer,buffer.Buffer.copy,method,v0.1.90,,stable,
node:buffer,buffer.Buffer.entries,method,v1.1.0,,stable,
node:buffer,buffer.Buffer.equals,method,v0.11.13,,stable,
node:buffer,buffer.Buffer.fill,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.includes,method,v5.3.0,,stable,
node:buffer,buffer.Buffer.indexOf,method,v1.5.0,,stable,
node:buffer,buffer.Buffer.keys,method,v1.1.0,,stable,
node:buffer,buffer.Buffer.lastIndexOf,method,v6.0.0,,stable,
node:buffer,buffer.Buffer.readBigInt64BE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.readBigInt64LE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.readBigUInt64BE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.readBigUInt64LE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.readDoubleBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readDoubleLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readFloatBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readFloatLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readInt16BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readInt16LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readInt32BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readInt32LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readInt8,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.readIntBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readIntLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readUInt16BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt16LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt32BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt32LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt8,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.readUIntBE,method,v0.11.15,,stable,
