# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/nimbus/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,delta,node20_status,node22_status,node20_added_in,node22_added_in
node:assert,assert,method,unchanged,stable,stable,v0.5.9,v0.5.9
node:assert,assert.Assert,class,added_in_node22,,stable,,v22.19.0
node:assert,assert.AssertionError,class,unchanged,stable,stable,,
node:assert,assert.CallTracker,class,unchanged,deprecated,deprecated,v14.2.0,v14.2.0
node:assert,assert.CallTracker.calls,method,unchanged,stable,stable,v14.2.0,v14.2.0
node:assert,assert.CallTracker.getCalls,method,unchanged,stable,stable,v18.8.0,v18.8.0
node:assert,assert.CallTracker.report,method,unchanged,stable,stable,v14.2.0,v14.2.0
node:assert,assert.CallTracker.reset,method,unchanged,stable,stable,v18.8.0,v18.8.0
node:assert,assert.CallTracker.verify,method,unchanged,stable,stable,v14.2.0,v14.2.0
node:assert,assert.deepEqual,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.deepStrictEqual,method,unchanged,stable,stable,v1.2.0,v1.2.0
node:assert,assert.doesNotMatch,method,unchanged,stable,stable,v13.6.0,v13.6.0
node:assert,assert.doesNotReject,method,unchanged,stable,stable,v10.0.0,v10.0.0
node:assert,assert.doesNotThrow,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.equal,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.fail,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.ifError,method,unchanged,stable,stable,v0.1.97,v0.1.97
node:assert,assert.match,method,unchanged,stable,stable,v13.6.0,v13.6.0
node:assert,assert.notDeepEqual,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.notDeepStrictEqual,method,unchanged,stable,stable,v1.2.0,v1.2.0
node:assert,assert.notEqual,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.notStrictEqual,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.ok,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.partialDeepStrictEqual,method,added_in_node22,,stable,,v22.13.0
node:assert,assert.rejects,method,unchanged,stable,stable,v10.0.0,v10.0.0
node:assert,assert.strictEqual,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:assert,assert.throws,method,unchanged,stable,stable,v0.1.21,v0.1.21
node:async_hooks,async_hooks.AsyncHook,class,unchanged,stable,stable,,
node:async_hooks,async_hooks.AsyncHook.after,method,unchanged,stable,stable,,
node:async_hooks,async_hooks.AsyncHook.before,method,unchanged,stable,stable,,
node:async_hooks,async_hooks.AsyncHook.destroy,method,unchanged,stable,stable,,
node:async_hooks,async_hooks.AsyncHook.disable,method,unchanged,stable,stable,,
node:async_hooks,async_hooks.AsyncHook.enable,method,unchanged,stable,stable,,
